timestamp,line_id,product_type,machine_speed,oee,availability,performance,quality,production_time,planned_production_time,good_pieces,total_pieces
2024-01-02 04:20:01.240844,L1,Fond_Plat,1094,56.74,53.99,59.3,56.41,60,60,349,620
2024-01-02 04:20:01.240844,L2,Fond_Carre_Poignees_Torsadees,1036,68.21,70.79,68.7,68.71,60,60,485,706
2024-01-02 04:20:01.240844,L3,Fond_Carre_Sans_Poignees,793,60.51,61.34,58.76,59.31,60,60,284,479
2024-01-02 05:20:01.240844,L1,Fond_Carre_Poignees_Plates,958,72.67,76.51,72.27,72.56,60,60,504,696
2024-01-02 05:20:01.240844,L2,Fond_Carre_Sans_Poignees,1084,70.45,70.13,69.86,68.03,60,60,519,763
2024-01-02 05:20:01.240844,L3,Fond_Plat,812,65.28,65.48,62.74,65.85,60,60,349,530
2024-01-02 06:20:01.240844,L1,Fond_Carre_Poignees_Plates,1106,60.93,62.59,59.33,60.36,60,60,406,673
2024-01-02 06:20:01.240844,L2,Fond_Carre_Poignees_Torsadees,1062,75.99,79.93,78.25,75.23,60,60,607,807
2024-01-02 06:20:01.240844,L3,Fond_Carre_Sans_Poignees,954,72.46,70.35,75.23,69.98,60,60,483,691
2024-01-02 07:20:01.240844,L1,Fond_Carre_Poignees_Plates,1050,79.46,75.87,82.82,76.85,60,60,640,834
2024-01-02 07:20:01.240844,L2,Fond_Carre_Poignees_Torsadees,1219,71.6,70.5,74.43,69.19,60,60,603,872
2024-01-02 07:20:01.240844,L3,Fond_Carre_Poignees_Plates,865,64.97,63.25,67.9,64.19,60,60,360,562
2024-01-02 08:20:01.240844,L1,Fond_Carre_Sans_Poignees,1070,73.44,72.28,69.52,72.07,60,60,565,785
2024-01-02 08:20:01.240844,L2,Fond_Carre_Sans_Poignees,1038,72.12,71.95,73.15,71.35,60,60,533,748
2024-01-02 08:20:01.240844,L3,Fond_Carre_Poignees_Plates,886,58.58,60.27,56.16,60.33,60,60,313,519
2024-01-02 09:20:01.240844,L1,Fond_Plat,1030,76.71,76.74,76.67,78.6,60,60,620,790
2024-01-02 09:20:01.240844,L2,Fond_Carre_Sans_Poignees,979,72.48,69.0,75.67,73.0,60,60,517,709
2024-01-02 09:20:01.240844,L3,Fond_Plat,925,69.12,67.04,68.39,69.19,60,60,442,639
2024-01-02 10:20:01.240844,L1,Fond_Carre_Sans_Poignees,1077,82.2,82.51,80.76,83.54,60,60,739,885
2024-01-02 10:20:01.240844,L2,Fond_Carre_Sans_Poignees,1095,65.78,63.04,68.59,63.48,60,60,457,720
2024-01-02 10:20:01.240844,L3,Fond_Carre_Sans_Poignees,935,68.74,71.03,72.02,65.95,60,60,423,642
2024-01-02 11:20:01.240844,L1,Fond_Carre_Poignees_Plates,1030,75.91,79.69,79.6,77.44,60,60,604,781
2024-01-02 11:20:01.240844,L2,Fond_Carre_Poignees_Plates,1223,74.17,74.54,75.26,73.36,60,60,665,907
2024-01-02 11:20:01.240844,L3,Fond_Carre_Sans_Poignees,852,67.22,65.67,64.79,66.37,60,60,379,572
2024-01-02 12:20:01.240844,L1,Fond_Plat,962,77.69,75.4,74.2,77.46,60,60,578,747
2024-01-02 12:20:01.240844,L2,Fond_Carre_Poignees_Plates,973,69.04,70.94,70.02,66.88,60,60,448,671
2024-01-02 12:20:01.240844,L3,Fond_Carre_Poignees_Torsadees,817,67.72,65.0,66.19,67.98,60,60,375,553
2024-01-02 13:20:01.240844,L1,Fond_Plat,1031,77.57,73.52,74.04,76.0,60,60,607,799
2024-01-02 13:20:01.240844,L2,Fond_Carre_Poignees_Torsadees,1105,67.57,69.7,69.22,66.06,60,60,492,746
2024-01-02 13:20:01.240844,L3,Fond_Plat,972,66.85,65.01,69.34,67.49,60,60,437,649
2024-01-02 14:20:01.240844,L1,Fond_Carre_Poignees_Torsadees,1087,57.53,55.71,60.44,58.77,60,60,367,625
2024-01-02 14:20:01.240844,L2,Fond_Plat,1094,71.84,70.27,73.35,73.06,60,60,573,785
2024-01-02 14:20:01.240844,L3,Fond_Carre_Poignees_Torsadees,905,69.09,66.22,70.62,66.22,60,60,413,625
2024-01-02 15:20:01.240844,L1,Fond_Carre_Poignees_Plates,1059,76.77,75.0,72.77,78.51,60,60,637,812
2024-01-02 15:20:01.240844,L2,Fond_Carre_Poignees_Plates,1043,74.2,77.88,75.78,74.01,60,60,572,773
2024-01-02 15:20:01.240844,L3,Fond_Plat,774,64.9,65.12,64.89,66.33,60,60,333,502
2024-01-02 16:20:01.240844,L1,Fond_Plat,1294,74.16,73.1,77.77,65.58,60,60,628,959
2024-01-02 16:20:01.240844,L2,Fond_Carre_Poignees_Torsadees,1081,69.94,72.41,72.48,70.87,60,60,535,756
2024-01-02 16:20:01.240844,L3,Fond_Carre_Sans_Poignees,873,70.61,67.96,68.7,67.75,60,60,417,616
2024-01-02 17:20:01.240844,L1,Fond_Carre_Poignees_Torsadees,993,80.56,78.04,78.71,81.54,60,60,652,800
2024-01-02 17:20:01.240844,L2,Fond_Carre_Sans_Poignees,1260,71.02,70.46,68.47,70.3,60,60,628,894
2024-01-02 17:20:01.240844,L3,Fond_Carre_Poignees_Plates,876,72.98,76.14,71.61,74.05,60,60,473,639
2024-01-02 18:20:01.240844,L1,Fond_Carre_Poignees_Torsadees,965,77.79,74.66,78.69,76.67,60,60,575,750
2024-01-02 18:20:01.240844,L2,Fond_Carre_Sans_Poignees,1193,67.32,64.98,67.14,64.74,60,60,519,803
2024-01-02 18:20:01.240844,L3,Fond_Plat,860,70.48,68.62,68.61,71.92,60,60,435,606
2024-01-02 19:20:01.240844,L1,Fond_Carre_Poignees_Plates,1195,74.78,71.87,76.8,66.82,60,60,596,893
2024-01-02 19:20:01.240844,L2,Fond_Plat,1030,75.73,74.21,74.53,76.68,60,60,598,780
2024-01-02 19:20:01.240844,L3,Fond_Carre_Poignees_Torsadees,670,59.52,58.13,54.77,61.23,60,60,243,398
2024-01-02 20:20:01.240844,L1,Fond_Plat,975,68.5,67.39,70.77,67.03,60,60,447,667
2024-01-02 20:20:01.240844,L2,Fond_Carre_Sans_Poignees,966,64.85,61.34,63.29,65.39,60,60,409,626
2024-01-02 20:20:01.240844,L3,Fond_Carre_Sans_Poignees,736,70.8,70.75,67.2,73.23,60,60,381,521
2024-01-03 04:20:01.240844,L1,Fond_Carre_Sans_Poignees,1245,72.45,74.54,75.9,66.61,60,60,600,902
2024-01-03 04:20:01.240844,L2,Fond_Plat,1017,67.24,65.65,67.96,65.73,60,60,448,683
2024-01-03 04:20:01.240844,L3,Fond_Carre_Sans_Poignees,831,68.09,70.93,67.47,67.35,60,60,380,565
2024-01-03 05:20:01.240844,L1,Fond_Carre_Poignees_Torsadees,1017,79.13,76.93,81.06,78.25,60,60,629,804
2024-01-03 05:20:01.240844,L2,Fond_Carre_Poignees_Plates,941,65.57,62.24,68.96,63.02,60,60,388,616
2024-01-03 05:20:01.240844,L3,Fond_Carre_Sans_Poignees,1035,65.72,65.64,63.32,65.65,60,60,446,680
2024-01-03 06:20:01.240844,L1,Fond_Carre_Poignees_Plates,1017,75.68,73.05,74.15,77.2,60,60,593,769
2024-01-03 06:20:01.240844,L2,Fond_Carre_Sans_Poignees,840,69.82,71.71,66.24,69.0,60,60,404,586
2024-01-03 06:20:01.240844,L3,Fond_Carre_Sans_Poignees,935,74.29,71.06,70.58,76.07,60,60,527,694
2024-01-03 07:20:01.240844,L1,Fond_Carre_Poignees_Plates,1072,73.77,75.29,71.4,73.28,60,60,578,790
2024-01-03 07:20:01.240844,L2,Fond_Carre_Sans_Poignees,1122,75.91,79.21,73.29,76.7,60,60,652,851
2024-01-03 07:20:01.240844,L3,Fond_Carre_Sans_Poignees,914,67.97,67.57,69.43,67.54,60,60,419,621
2024-01-03 08:20:01.240844,L1,Fond_Carre_Poignees_Torsadees,1288,69.14,68.59,76.02,61.9,60,60,550,890
